Year,CPI,SP500,SP500/CPI
1960,1.0,1.0,1.0
1961,1.01070724147647,1.18659549422107,1.1740249258407
1962,1.02282333051564,1.11594435611567,1.09104311841722
1963,1.03550295857988,1.25093418037694,1.2080450084783
1964,1.0487461256692,1.45710066873958,1.38937406592068
1965,1.06537052690899,1.57858486004169,1.48172379483945
1966,1.0974922513384,1.52530176061097,1.38980640523963
1967,1.12792335869259,1.64660497565367,1.45985537311888
1968,1.17610594533671,1.76158724712815,1.49781340202631
1969,1.24034939419554,1.75076156973738,1.41150677214857
1970,1.312764158918,1.48899653092346,1.13424526470216
1971,1.36911806142575,1.76047439062967,1.28584556747164
1972,1.41391941391941,1.9542187717173,1.38212882041146
1973,1.50126796280642,1.92384210367421,1.28147815802173
1974,1.66723020569174,1.48231339428867,0.889087415300068
1975,1.8196675119752,1.54320103440015,0.848067586108105
1976,1.92420400112707,1.8270913902553,0.949531021235333
1977,2.04930966469428,1.75809006084559,0.857893802549292
1978,2.20569174415328,1.72106133795685,0.780281896833018
1979,2.45393068469991,1.84434883544316,0.751589621884004
1980,2.78641870949563,2.12567849610551,0.762871168235258
1981,3.07438715131022,2.29270617802989,0.745744132144451
1982,3.26289095519864,2.14350640920242,0.656934736291831
1983,3.36770921386305,2.87350623058354,0.853252477605507
1984,3.51253874330796,2.87333495904916,0.818022282180772
1985,3.63708086785008,3.34543203175558,0.919812386171414
1986,3.70611439842208,4.23291758498219,1.14214434038636
1987,3.84192730346575,5.1391198664682,1.33764110055707
1988,3.99859115243729,4.7609735592973,1.19066275540457
1989,4.19160326852633,5.78470887167314,1.3800707035203
1990,4.41786418709494,5.99207696305216,1.35632892033116
1991,4.60495914342066,6.73616697681308,1.46280711012114
1992,4.74443505212734,7.44455895515,1.5691138930887
1993,4.8844744998591,8.0868246689008,1.6556181569039
1994,5.01183431952661,8.24443176334736,1.64499287840107
1995,5.15243730628344,9.70027348944674,1.88265725768602
1996,5.30346576500421,12.0061919643543,2.26383887373784
1997,5.42744435052125,15.6400034975579,2.88165156332848
1998,5.51169343477034,19.4375252418785,3.5265976730958
1999,5.63229078613692,23.7677795051468,4.21991342557238
2000,5.82248520710058,25.5564831153978,4.38927403099821
2001,5.9870386024232,21.3835235301892,3.57163615439767
2002,6.08199492814875,17.7978580835089,2.92631912616972
2003,6.22006198929274,17.2838124811227,2.7787202942471
2004,6.38658777120314,20.2459339134452,3.17007056643507
2005,6.60326852634543,21.6172109258278,3.27371374336518
2006,6.81628627782471,23.4657273302134,3.44259709375089
2007,7.01073260073257,26.4511486862216,3.77295073034987
2008,7.27988165680471,21.8466395118481,3.00096080427728
2009,7.2539983093829,16.9761587987469,2.34024851877737
2010,7.37296703296701,20.4127517505627,2.76859392688051
2011,7.6057199211045,22.6989290846907,2.98445503123317
2012,7.76310791772325,24.6993560150248,3.18163244370672
2013,7.87682445759366,29.4346275364539,3.73686473463014
2014,8.00460411383488,34.5841173565666,4.32052814414552
2015,8.01409974640737,36.9064359258085,4.60518799286885
2016,8.11520428289658,37.5077980766986,4.6219166849255
2017,8.28806706114398,43.8542987457304,5.29125771089952
2018,8.49051000281769,49.1749862292866,5.79175882402438
2019,8.64437588052968,52.1679120143567,6.03489629966902
2020,8.75101155254999,57.6204208768664,6.58442975773197
2021,9.16212172442939,76.5212273003946,8.35191122776316
