DATE,SP500_CPIAUCSL
2013-04-01,1570.3905676381410527663
2013-05-01,1638.8385673055323637268
2013-06-01,1613.9394078061476896492
2013-07-01,1660.4431312424372428297
2013-08-01,1657.8964358204933306349
2013-09-01,1674.2204715107217486660
2013-10-01,1705.9082139246764215235
2013-11-01,1765.6446402862024800783
2013-12-01,1784.9160877637069109987
2014-01-01,1794.9618333985016866668
2014-02-01,1787.7519870679513443633
2014-03-01,1829.7549274803554313168
2014-04-01,1827.0755102734126154539
2014-05-01,1848.5527698371829597710
2014-06-01,1902.1101913405278422125
2014-07-01,1925.3547318293206676901
2014-08-01,1914.3728647371186247207
2014-09-01,1945.1659018306935687566
2014-10-01,1890.9374021102787274780
2014-11-01,1999.4329971636872796477
2014-12-01,2015.1291165327316157995
2015-01-01,2002.2935140960267763533
2015-02-01,2050.4243033811040521537
2015-03-01,2042.7495500871429187698
2015-04-01,2055.2131554457852495081
2015-05-01,2065.1601388538445016991
2015-06-01,2047.1144633270178936361
2015-07-01,2038.8679006818735521389
2015-08-01,1986.0314725649284646877
2015-09-01,1897.3515405944270555631
2015-10-01,1973.8630074839497188861
2015-11-01,2025.8425007100333237366
2015-12-01,2002.1575815152037635795
2016-01-01,1870.9582949150770673646
2016-02-01,1859.6036496507061683247
2016-03-01,1968.2034716157288560501
2016-04-01,2012.6504944257946826761
2016-05-01,1998.2446714779283952243
2016-06-01,2010.4066547364142614661
2016-07-01,2074.1695678152110997075
2016-08-01,2097.8763694382412339408
2016-09-01,2073.3698042310930515592
2016-10-01,2054.4601401302968789631
2016-11-01,2073.0731585508522723509
2016-12-01,2145.8331928550134809698
2017-01-01,2164.2916702214122072914
2017-02-01,2212.8926927379266308821
2017-03-01,2249.0012203209688563894
2017-04-01,2239.0991135527614312934
2017-05-01,2275.0602849860136337216
2017-06-01,2310.2540641963099804630
2017-07-01,2328.5855008229509243639
2017-08-01,2321.6623768741325332397
2017-09-01,2344.3033440501552048743
2017-10-01,2402.7745450675037465836
2017-11-01,2430.6898864925695608772
2017-12-01,2491.7317052339541226163
2018-01-01,2598.0166385822991421807
2018-02-01,2512.4231547920492845260
2018-03-01,2509.7285933036793475623
2018-04-01,2457.6896280329841382805
2018-05-01,2496.3868533322796920583
2018-06-01,2542.9412591754945285928
2018-07-01,2577.2036436796250744871
2018-08-01,2631.7048735066511524934
2018-09-01,2666.4299929186481499015
2018-10-01,2553.8202365544752825617
2018-11-01,2498.5200177849867872748
2018-12-01,2353.8517683833228599939
2019-01-01,2391.0652976440142853525
2019-02-01,2520.2806532937692324575
2019-03-01,2556.3372901902911047973
2019-04-01,2636.8712704389701056047
2019-05-01,2591.4879123260890543521
2019-06-01,2625.0254181353587401939
2019-07-01,2715.6553233115321216708
2019-08-01,2622.4350682246882665123
2019-09-01,2694.3001865650985653461
2019-10-01,2682.5862189425299403338
2019-11-01,2791.1417740658564872630
2019-12-01,2846.7491527685098840237
2020-01-01,2932.8890866776340221759
2020-02-01,2929.7076374887528878385
2020-03-01,2381.3937395240624380762
2020-04-01,2499.4553652742355204822
2020-05-01,2644.4248435326027505771
2020-06-01,2799.7955933114149057088
2020-07-01,2878.1736421114950938522
2020-08-01,3030.0649710690757230001
2020-09-01,2999.5187191300457542130
2020-10-01,3043.9111582032491440882
2020-11-01,3153.5336078627215666676
2020-12-01,3268.2343496479477873514
2021-01-01,3347.4395215205346342109
2021-02-01,3413.7312292872882732652
2021-03-01,3420.9751087703277678267
2021-04-01,3598.9114760529779073758
2021-05-01,3598.1556282669756167539
2021-06-01,3630.5360037871087844577
2021-07-01,3721.2243650951350561320
2021-08-01,3782.9984204166486196969
2021-09-01,3759.6855541891096236747
2021-10-01,3738.4849706869099576817
2021-11-01,3880.9789616723655320960
2021-12-01,3857.0074596481212044572
2022-01-01,3750.8494932413065964845
2022-02-01,3612.1110395074330790515
2022-03-01,3540.1016634512306491623
2022-04-01,3526.1554109025643602424
2022-05-01,3214.7625910158342231141
2022-06-01,3065.8260801371660161705
2022-07-01,3076.9214852441044292820
2022-08-01,3263.4130566474686189278
2022-09-01,3009.2566943222275944491
2022-10-01,2897.8312284268712883986
2022-11-01,3040.4821663813650947452
2022-12-01,3032.5368677722937099723
2023-01-01,3054.1635761822210961156
2023-02-01,3134.3520177421853764597
