Date,GS10R,Year
2013-04-01,0.62119,2013
2013-05-01,0.53961,2013
2013-06-01,0.58421,2013
2013-07-01,0.69453,2013
2013-08-01,1.20119,2013
2013-09-01,1.71527,2013
2013-10-01,1.7432,2013
2013-11-01,1.48713,2013
2013-12-01,1.38716,2013
2014-01-01,1.30224,2014
2014-02-01,1.58953,2014
2014-03-01,1.10731,2014
2014-04-01,0.69487,2014
2014-05-01,0.39305,2014
2014-06-01,0.54102,2014
2014-07-01,0.56576,2014
2014-08-01,0.7049,2014
2014-09-01,0.84595,2014
2014-10-01,0.69046,2014
2014-11-01,1.09848,2014
2014-12-01,1.55688,2014
2015-01-01,2.10993,2015
2015-02-01,2.06703,2015
2015-03-01,2.06203,2015
2015-04-01,2.04403,2015
2015-05-01,2.16497,2015
2015-06-01,2.18043,2015
2015-07-01,2.09431,2015
2015-08-01,1.9287,2015
2015-09-01,2.16116,2015
2015-10-01,1.94238,2015
2015-11-01,1.82368,2015
2015-12-01,1.60128,2015
2016-01-01,0.8525,2016
2016-02-01,0.93272,2016
2016-03-01,0.99838,2016
2016-04-01,0.63737,2016
2016-05-01,0.73152,2016
2016-06-01,0.56071,2016
2016-07-01,0.63164,2016
2016-08-01,0.50468,2016
2016-09-01,0.08136,2016
2016-10-01,0.07408,2016
2016-11-01,0.45567,2016
2016-12-01,0.4392,2016
2017-01-01,-0.08039,2017
2017-02-01,-0.39036,2017
2017-03-01,0.0388,2017
2017-04-01,0.12378,2017
2017-05-01,0.44366,2017
2017-06-01,0.54943,2017
2017-07-01,0.59489,2017
2017-08-01,0.28188,2017
2017-09-01,0.01943,2017
2017-10-01,0.33924,2017
2017-11-01,0.17751,2017
2017-12-01,0.27007,2017
2018-01-01,0.42868,2018
2018-02-01,0.59653,2018
2018-03-01,0.50905,2018
2018-04-01,0.399,2018
2018-05-01,0.19808,2018
2018-06-01,0.10245,2018
2018-07-01,0.03588,2018
2018-08-01,0.24708,2018
2018-09-01,0.66794,2018
2018-10-01,0.65797,2018
2018-11-01,0.97267,2018
2018-12-01,0.82762,2018
2019-01-01,1.15932,2019
2019-02-01,1.15994,2019
2019-03-01,0.71686,2019
2019-04-01,0.53821,2019
2019-05-01,0.60648,2019
2019-06-01,0.42032,2019
2019-07-01,0.28024,2019
2019-08-01,-0.11678,2019
2019-09-01,-0.01662,2019
2019-10-01,-0.05918,2019
2019-11-01,-0.2522,2019
2019-12-01,-0.45399,2019
2020-01-01,-0.74042,2020
2020-02-01,-0.83932,2020
2020-03-01,-0.67287,2020
2020-04-01,0.3148,2020
2020-05-01,0.44359,2020
2020-06-01,0.01398,2020
2020-07-01,-0.39414,2020
2020-08-01,-0.65907,2020
2020-09-01,-0.69148,2020
2020-10-01,-0.39253,2020
2020-11-01,-0.29756,2020
2020-12-01,-0.39204,2020
2021-01-01,-0.31478,2021
2021-02-01,-0.43336,2021
2021-03-01,-1.02052,2021
2021-04-01,-2.49055,2021
2021-05-01,-3.29503,2021
2021-06-01,-3.76161,2021
2021-07-01,-3.90151,2021
2021-08-01,-3.90829,2021
2021-09-01,-4.01363,2021
2021-10-01,-4.65775,2021
2021-11-01,-5.30239,2021
2021-12-01,-5.72446,2021
2022-01-01,-5.83528,2022
2022-02-01,-6.02485,2022
2022-03-01,-6.38522,2022
2022-04-01,-5.47777,2022
2022-05-01,-5.60233,2022
2022-06-01,-5.79299,2022
2022-07-01,-5.51318,2022
2022-08-01,-5.32736,2022
2022-09-01,-4.69485,2022
2022-10-01,-3.78249,2022
2022-11-01,-3.24535,2022
2022-12-01,-2.82494,2022
2023-01-01,-2.81716,2023
2023-02-01,-2.23644,2023
